sub_num,condition_timing,condition_stim,stim_id,cat,resp,rt,age,gender,date,prob_num,prob_num_grating,prob_num_binary,num_problems_solved,current_trial_prob,current_trial_stim,current_trial_exp,relevant_dim,x,y,xc
2,delay,grating,21,2,2,1.4849350452423096,,Prefer not to specify,2019-12-06,0,0,0,0,0,0,0,2,67.64221751686793,72.0,71.006665260041
2,delay,grating,26,1,2,0.7297070026397705,,Prefer not to specify,2019-12-06,0,0,0,0,1,1,1,2,73.52256893613314,72.0,71.006665260041
2,delay,grating,43,2,2,1.161186933517456,,Prefer not to specify,2019-12-06,0,0,0,0,2,2,2,2,68.6913214050541,72.0,71.006665260041
2,delay,grating,56,1,1,0.5516049861907959,,Prefer not to specify,2019-12-06,0,0,0,0,3,3,3,2,77.05658863113767,72.0,71.006665260041
2,delay,grating,8,2,2,0.8295180797576904,,Prefer not to specify,2019-12-06,0,0,0,0,4,4,4,2,66.44287017610678,72.0,71.006665260041
2,delay,grating,60,1,1,0.6373980045318604,,Prefer not to specify,2019-12-06,0,0,0,0,5,5,5,2,73.64826119879272,72.0,71.006665260041
2,delay,grating,36,1,1,0.8649110794067383,,Prefer not to specify,2019-12-06,0,0,0,0,6,6,6,2,77.71038248224718,72.0,71.006665260041
2,delay,grating,48,2,2,0.5401530265808105,,Prefer not to specify,2019-12-06,0,0,0,0,7,7,7,2,66.91787903579527,72.0,71.006665260041
2,delay,grating,53,1,2,0.6514019966125488,,Prefer not to specify,2019-12-06,0,0,0,0,8,8,8,2,79.32847287424853,72.0,71.006665260041
2,delay,grating,25,1,2,0.8969161510467529,,Prefer not to specify,2019-12-06,0,0,0,0,9,9,9,2,74.21739051099948,72.0,71.006665260041
2,delay,grating,4,2,2,0.7902340888977051,,Prefer not to specify,2019-12-06,0,0,0,0,10,10,10,2,66.96110859683121,72.0,71.006665260041
2,delay,grating,27,2,1,1.2479090690612793,,Prefer not to specify,2019-12-06,0,0,0,0,11,11,11,2,70.07360691102976,72.0,71.006665260041
2,delay,grating,47,2,2,0.6067922115325928,,Prefer not to specify,2019-12-06,0,0,0,0,12,12,12,2,67.04402024041038,72.0,71.006665260041
2,delay,grating,61,2,2,0.4484570026397705,,Prefer not to specify,2019-12-06,0,0,0,0,13,13,13,2,64.9840521826582,72.0,71.006665260041
2,delay,grating,57,2,2,1.1693460941314697,,Prefer not to specify,2019-12-06,0,0,0,0,14,14,14,2,64.49897684382061,72.0,71.006665260041
2,delay,grating,30,1,1,0.6254591941833496,,Prefer not to specify,2019-12-06,0,0,0,0,15,15,15,2,73.00113850577962,72.0,71.006665260041
2,delay,grating,11,1,1,1.038219928741455,,Prefer not to specify,2019-12-06,0,0,0,0,16,16,16,2,77.14549745017068,72.0,71.006665260041
2,delay,grating,12,1,2,1.1745688915252686,,Prefer not to specify,2019-12-06,0,0,0,0,17,17,17,2,73.80478096432556,72.0,71.006665260041
2,delay,grating,23,1,1,1.0631392002105713,,Prefer not to specify,2019-12-06,0,0,0,0,18,18,18,2,78.8585253523558,72.0,71.006665260041
2,delay,grating,6,2,2,0.6608378887176514,,Prefer not to specify,2019-12-06,0,0,0,0,19,19,19,2,67.11171101915477,72.0,71.006665260041
2,delay,grating,38,2,2,1.0093579292297363,,Prefer not to specify,2019-12-06,0,0,0,0,20,20,20,2,64.77084707294426,72.0,71.006665260041
2,delay,grating,16,1,2,1.2274129390716553,,Prefer not to specify,2019-12-06,0,0,0,0,21,21,21,2,72.3465277781622,72.0,71.006665260041
2,delay,grating,35,1,1,0.6487350463867188,,Prefer not to specify,2019-12-06,0,0,0,0,22,22,22,2,74.24687052496286,72.0,71.006665260041
2,delay,grating,1,2,2,2.458901882171631,,Prefer not to specify,2019-12-06,0,0,0,0,23,23,23,2,65.86357934712414,72.0,71.006665260041
2,delay,grating,18,2,2,1.0290720462799072,,Prefer not to specify,2019-12-06,0,0,0,0,24,24,24,2,65.31920590913981,72.0,71.006665260041
2,delay,grating,13,2,2,2.4365029335021973,,Prefer not to specify,2019-12-06,0,0,0,0,25,25,25,2,67.26136801975807,72.0,71.006665260041
2,delay,grating,34,1,1,2.067700147628784,,Prefer not to specify,2019-12-06,0,0,0,0,26,26,26,2,77.88569578656531,72.0,71.006665260041
2,delay,grating,29,1,1,0.5966219902038574,,Prefer not to specify,2019-12-06,0,0,0,0,27,27,27,2,73.30928629116238,72.0,71.006665260041
2,long_iti,binary,17,2,2,1.3781540393829346,,Prefer not to specify,2019-12-06,1,0,0,1,0,0,28,3,-1,-1,71.006665260041
2,long_iti,binary,33,2,2,0.9960901737213135,,Prefer not to specify,2019-12-06,1,0,0,1,1,1,29,3,-1,-1,71.006665260041
2,long_iti,binary,34,2,2,1.673680067062378,,Prefer not to specify,2019-12-06,1,0,0,1,2,2,30,3,-1,-1,71.006665260041
2,long_iti,binary,8,1,2,0.5513420104980469,,Prefer not to specify,2019-12-06,1,0,0,1,3,3,31,3,-1,-1,71.006665260041
2,long_iti,binary,29,1,1,0.7304601669311523,,Prefer not to specify,2019-12-06,1,0,0,1,4,4,32,3,-1,-1,71.006665260041
2,long_iti,binary,47,1,1,0.6774938106536865,,Prefer not to specify,2019-12-06,1,0,0,1,5,5,33,3,-1,-1,71.006665260041
2,long_iti,binary,38,2,2,1.3022589683532715,,Prefer not to specify,2019-12-06,1,0,0,1,6,6,34,3,-1,-1,71.006665260041
2,long_iti,binary,42,1,1,0.7382469177246094,,Prefer not to specify,2019-12-06,1,0,0,1,7,7,35,3,-1,-1,71.006665260041
2,long_iti,binary,26,1,1,2.980712890625,,Prefer not to specify,2019-12-06,1,0,0,1,8,8,36,3,-1,-1,71.006665260041
2,long_iti,binary,37,2,2,0.6030220985412598,,Prefer not to specify,2019-12-06,1,0,0,1,9,9,37,3,-1,-1,71.006665260041
2,delay,binary,41,1,2,1.3225030899047852,,Prefer not to specify,2019-12-06,2,0,0,2,0,0,38,1,-1,-1,71.006665260041
2,delay,binary,56,1,1,2.209023952484131,,Prefer not to specify,2019-12-06,2,0,0,2,1,1,39,1,-1,-1,71.006665260041
2,delay,binary,50,1,1,1.0539119243621826,,Prefer not to specify,2019-12-06,2,0,0,2,2,2,40,1,-1,-1,71.006665260041
2,delay,binary,15,2,2,0.6062178611755371,,Prefer not to specify,2019-12-06,2,0,0,2,3,3,41,1,-1,-1,71.006665260041
2,delay,binary,1,2,2,1.561629056930542,,Prefer not to specify,2019-12-06,2,0,0,2,4,4,42,1,-1,-1,71.006665260041
